date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_confirmed,mobility_workplaces
2022-07-07,US_IN,3291.0,4218800.0,5.0,-44.0
2022-02-27,US_WI,0.0,4136395.0,0.0,2.0
2021-02-17,US_VA,13886.0,1060294.0,53.0,-20.0
2022-03-08,US_MS,952.0,1753435.0,1.0,-20.0
2022-01-07,US_KS,3274.0,2035195.0,11.0,-14.0
2021-07-12,US_GA,29183.0,4704960.0,1.0,-19.0
2021-10-20,US_TN,3079.0,3682301.0,6.0,-12.0
2021-08-09,US_KY,6080.0,2392410.0,8.0,-28.0
2021-04-26,US_TN,9581.0,2296223.0,5.0,-8.0
2022-01-12,US_IA,1775.0,2069825.0,43.0,19.0
2022-03-15,US_TN,1717.0,4203710.0,0.0,3.0
2021-06-17,US_IL,52268.0,7318672.0,0.0,-29.0
2021-03-27,US_CO,40161.0,1591554.0,0.0,-26.0
2021-04-24,US_MN,12634.0,2498179.0,5.0,1.0
2021-06-14,US_MO,4852.0,2664535.0,0.0,-8.0
2021-02-02,US_MO,3375.0,358762.0,0.0,-12.0
2021-08-22,US_IN,7839.0,3318855.0,2.0,-25.0
2021-03-09,US_NC,19797.0,1858432.0,1.0,-20.0
2022-04-05,US_NC,4427.0,8734758.0,5.0,-22.0
2021-12-17,US_SC,8495.0,3182212.0,8.0,-8.0
2022-05-21,US_IN,808.0,4148504.0,1.0,-3.0
2021-11-11,US_AL,0.0,2701228.0,7.0,-33.0
2021-07-06,US_MO,2523.0,2787565.0,3.0,-35.0
2022-04-19,US_TX,8039.0,21097099.0,0.0,-12.0
2022-01-29,US_NC,8435.0,8467163.0,0.0,-19.0
2021-03-18,US_NC,68952.0,2406584.0,36.0,-32.0
2021-07-13,US_TX,21538.0,14285663.0,0.0,-26.0
2021-05-18,US_CA,172951.0,21168286.0,20.0,-27.0
2021-04-11,US_TN,36974.0,2013257.0,0.0,-1.0
2021-12-25,US_VA,0.0,6688229.0,0.0,-74.0
2021-07-09,US_LA,3768.0,1815147.0,11.0,-33.0
2021-04-09,US_TX,226173.0,8883466.0,-4.0,-19.0
2021-10-27,US_VA,6098.0,6033483.0,9.0,-15.0
2022-01-19,US_TX,151219.0,19985409.0,2.0,-28.0
